日期,距離,光線
2022-11-11 09:23:49,100,212.50610649731306
2022-11-11 09:24:19,100,216.41426477772342
2022-11-11 09:32:16,100,211.52906692721052
2022-11-11 09:32:46,100,216.41426477772342
2022-11-11 09:33:16,100,210.552027357108
2022-11-11 09:33:46,100,222.27650219833905
2022-11-11 09:35:04,100,217.39130434782618
2022-11-11 09:35:09,100,214.46018563751835
2022-11-11 09:35:14,100,205.6668295065951
2022-11-11 09:35:19,100,178.3097215437226
2022-11-11 09:35:24,100,213.48314606741582
2022-11-11 09:35:29,100,216.41426477772342
2022-11-11 09:35:34,100,207.62090864680016
2022-11-11 09:35:39,6.292796786025291,200.78163165608197
2022-11-11 09:35:44,6.247640932520767,201.75867122618473
2022-11-11 09:35:49,5.977186380167495,203.7127503663898
2022-11-11 09:35:54,6.137042563320961,208.5979482169027
